p_key,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
46,Chevrolet Impala,14,8,350,165,4209,12,71,US
47,Pontiac Catalina Brougham,14,8,400,175,4464,11.5,71,US
48,Ford Galaxie 500,14,8,351,153,4154,13.5,71,US
49,Plymouth Fury iii,14,8,318,150,4096,13,71,US
50,Dodge Monaco (sw),12,8,383,180,4955,11.5,71,US
51,Ford Country Squire (sw),13,8,400,170,4746,12,71,US
52,Pontiac Safari (sw),13,8,400,175,5140,12,71,US
53,AMC Hornet Sportabout (sw),18,6,258,110,2962,13.5,71,US
54,Chevrolet Vega (sw),22,4,140,72,2408,19,71,US
55,Pontiac Firebird,19,6,250,100,3282,15,71,US
56,Ford Mustang,18,6,250,88,3139,14.5,71,US
57,Mercury Capri 2000,23,4,122,86,2220,14,71,US
58,Opel 1900,28,4,116,90,2123,14,71,Europe
59,Peugeot 304,30,4,79,70,2074,19.5,71,Europe
60,Fiat 124B,30,4,88,76,2065,14.5,71,Europe
61,Toyota Corolla 1200,31,4,71,65,1773,19,71,Japan
62,Datsun 1200,35,4,72,69,1613,18,71,Japan
63,Volkswagen Model 111,27,4,97,60,1834,19,71,Europe
64,Plymouth Cricket,26,4,91,70,1955,20.5,71,US
65,Toyota Corolla Hardtop,24,4,113,95,2278,15.5,72,Japan
66,Dodge Colt Hardtop,25,4,97.5,80,2126,17,72,US
67,Volkswagen Type 3,23,4,97,54,2254,23.5,72,Europe
68,Chevrolet Vega,20,4,140,90,2408,19.5,72,US
69,Ford Pinto Runabout,21,4,122,86,2226,16.5,72,US
70,Chevrolet Impala,13,8,350,165,4274,12,72,US
71,Pontiac Catalina,14,8,400,175,4385,12,72,US
72,Plymouth Fury III,15,8,318,150,4135,13.5,72,US
73,Ford Galaxie 500,14,8,351,153,4129,13,72,US
74,AMC Ambassador SST,17,8,304,150,3672,11.5,72,US
75,Mercury Marquis,11,8,429,208,4633,11,72,US
76,Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US
77,Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US
78,Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US
79,Mazda RX2 Coupe,19,3,70,97,2330,13.5,72,Japan
80,AMC Matador (sw),15,8,304,150,3892,12.5,72,US
81,Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US
82,Ford Gran Torino (sw),13,8,302,140,4294,16,72,US
83,Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US
84,Volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe
85,Volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe
86,Peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
87,Renault 12 (sw),26,4,96,69,2189,18,72,Europe
88,Ford Pinto (sw),22,4,122,86,2395,16,72,US
89,Datsun 510 (sw),28,4,97,92,2288,17,72,Japan
90,Toyota Corolla Mark II (sw),23,4,120,97,2506,14.5,72,Japan
91,Dodge Colt (sw),28,4,98,80,2164,15,72,US
92,Toyota Corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan
93,Buick Century 350,13,8,350,175,4100,13,73,US
94,AMC Matador,14,8,304,150,3672,11.5,73,US
95,Chevrolet Malibu,13,8,350,145,3988,13,73,US
96,Ford Gran Torino,14,8,302,137,4042,14.5,73,US
97,Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US
98,Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US
99,Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US
100,Ford LTD,13,8,351,158,4363,13,73,US
101,Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US
102,Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US
103,Buick Electra 225 Custom,12,8,455,225,4951,11,73,US
104,AMC Ambassador Brougham,13,8,360,175,3821,11,73,US
105,Plymouth Valiant,18,6,225,105,3121,16.5,73,US
106,Chevrolet Nova Custom,16,6,250,100,3278,18,73,US
107,AMC Hornet,18,6,232,100,2945,16,73,US
108,Ford Maverick,18,6,250,88,3021,16.5,73,US
109,Plymouth Duster,23,6,198,95,2904,16,73,US
110,Volkswagen Super Beetle,26,4,97,46,1950,21,73,Europe
111,Chevrolet Impala,11,8,400,150,4997,14,73,US
112,Ford Country,12,8,400,167,4906,12.5,73,US
113,Plymouth Custom Suburb,13,8,360,170,4654,13,73,US
114,Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US
115,AMC Gremlin,18,6,232,100,2789,15,73,US
116,Toyota Camry,20,4,97,88,2279,19,73,Japan
117,Chevrolet Vega,21,4,140,72,2401,19.5,73,US
118,Datsun 610,22,4,108,94,2379,16.5,73,Japan
119,Mazda RX3,18,3,70,90,2124,13.5,73,Japan
120,Ford Pinto,19,4,122,85,2310,18.5,73,US
121,Mercury Capri v6,21,6,155,107,2472,14,73,US
122,Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,73,Europe
123,Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US
124,Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US
125,Fiat 128,29,4,68,49,1867,19.5,73,Europe
126,Opel Manta,24,4,116,75,2158,15.5,73,Europe
127,Audi 100LS,20,4,114,91,2582,14,73,Europe
128,Volvo 144ea,19,4,121,112,2868,15.5,73,Europe
129,Dodge Dart Custom,15,8,318,150,3399,11,73,US
130,Saab 99le,24,4,121,110,2660,14,73,Europe
131,Toyota Mark II,20,6,156,122,2807,13.5,73,Japan
132,Oldsmobile Omega,11,8,350,180,3664,11,73,US
133,Plymouth Duster,20,6,198,95,3102,16.5,74,US
134,Ford Maverick,21,6,200,0,2875,17,74,US
135,AMC Hornet,19,6,232,100,2901,16,74,US
136,Chevrolet Nova,15,6,250,100,3336,17,74,US
137,Datsun B210,31,4,79,67,1950,19,74,Japan
138,Ford Pinto,26,4,122,80,2451,16.5,74,US
139,Toyota Corolla 1200,32,4,71,65,1836,21,74,Japan
140,Chevrolet Vega,25,4,140,75,2542,17,74,US
141,Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,US
142,AMC Matador,16,6,258,110,3632,18,74,US
143,Plymouth Satellite Sebring,18,6,225,105,3613,16.5,74,US
144,Ford Gran Torino,16,8,302,140,4141,14,74,US
145,Buick Century Luxus (sw),13,8,350,150,4699,14.5,74,US
146,Dodge Coronet Custom (sw),14,8,318,150,4457,13.5,74,US
147,Ford Gran Torino (sw),14,8,302,140,4638,16,74,US
148,AMC Matador (sw),14,8,304,150,4257,15.5,74,US
149,Audi Fox,29,4,98,83,2219,16.5,74,Europe
150,Volkswagen Dasher,26,4,79,67,1963,15.5,74,Europe
151,Opel Manta,26,4,97,78,2300,14.5,74,Europe
152,Toyota Corolla,31,4,76,52,1649,16.5,74,Japan
153,Datsun 710,32,4,83,61,2003,19,74,Japan
154,Dodge Colt,28,4,90,75,2125,14.5,74,US
155,Fiat 128,24,4,90,75,2108,15.5,74,Europe
156,Fiat 124 TC,26,4,116,75,2246,14,74,Europe
157,Honda Civic,24,4,120,97,2489,15,74,Japan
158,Subaru,26,4,108,93,2391,15.5,74,Japan
159,Fiat x1.9,31,4,79,67,2000,16,74,Europe
160,Plymouth Valiant Custom,19,6,225,95,3264,16,75,US
161,Chevrolet Nova,18,6,250,105,3459,16,75,US
162,Mercury Monarch,15,6,250,72,3432,21,75,US
163,Ford Maverick,15,6,250,72,3158,19.5,75,US
164,Pontiac Catalina,16,8,400,170,4668,11.5,75,US
165,Chevrolet Bel Air,15,8,350,145,4440,14,75,US
166,Plymouth Grand Fury,16,8,318,150,4498,14.5,75,US
167,Ford LTD,14,8,351,148,4657,13.5,75,US
168,Buick Century,17,6,231,110,3907,21,75,US
169,Chevrolete Chevelle Malibu,16,6,250,105,3897,18.5,75,US
170,AMC Matador,15,6,258,110,3730,19,75,US
171,Plymouth Fury,18,6,225,95,3785,19,75,US
172,Buick Skyhawk,21,6,231,110,3039,15,75,US
173,Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75,US
174,Ford Mustang II,13,8,302,129,3169,12,75,US
175,Toyota Corolla,29,4,97,75,2171,16,75,Japan
176,Ford Pinto,23,4,140,83,2639,17,75,US
177,AMC Gremlin,20,6,232,100,2914,16,75,US
178,Pontiac Astro,23,4,140,78,2592,18.5,75,US
179,Toyota Corolla,24,4,134,96,2702,13.5,75,Japan
180,Volkswagen Dasher,25,4,90,71,2223,16.5,75,Europe
181,Datsun 710,24,4,119,97,2545,17,75,Japan
182,Ford Pinto,18,6,171,97,2984,14.5,75,US
183,Volkswagen Rabbit,29,4,90,70,1937,14,75,Europe
184,AMC Pacer,19,6,232,90,3211,17,75,US
185,Audi 100LS,23,4,115,95,2694,15,75,Europe
186,Peugeot 504,23,4,120,88,2957,17,75,Europe
187,Volvo 244DL,22,4,121,98,2945,14.5,75,Europe
188,Saab 99LE,25,4,121,115,2671,13.5,75,Europe
189,Honda Civic CVCC,33,4,91,53,1795,17.5,75,Japan
190,Fiat 131,28,4,107,86,2464,15.5,76,Europe
191,Opel 1900,25,4,116,81,2220,16.9,76,Europe
192,Capri ii,25,4,140,92,2572,14.9,76,US
193,Dodge Colt,26,4,98,79,2255,17.7,76,US
194,Renault 12tl,27,4,101,83,2202,15.3,76,Europe
195,Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,US
196,Dodge Coronet Brougham,16,8,318,150,4190,13,76,US
197,AMC Matador,15.5,8,304,120,3962,13.9,76,US
198,Ford Gran Torino,14.5,8,351,152,4215,12.8,76,US
199,Plymouth Valiant,22,6,225,100,3233,15.4,76,US
200,Chevrolet Nova,22,6,250,105,3353,14.5,76,US
201,Ford Maverick,24,6,200,81,3012,17.6,76,US
202,AMC Hornet,22.5,6,232,90,3085,17.6,76,US
203,Chevrolet Chevette,29,4,85,52,2035,22.2,76,US
204,Chevrolet Woody,24.5,4,98,60,2164,22.1,76,US
205,Volkswagen Rabbit,29,4,90,70,1937,14.2,76,Europe
206,Honda Civic,33,4,91,53,1795,17.4,76,Japan
207,Dodge Aspen SE,20,6,225,100,3651,17.7,76,US
208,Ford Grenada ghia,18,6,250,78,3574,21,76,US
209,Pontiac Ventura SJ,18.5,6,250,110,3645,16.2,76,US
210,AMC Pacer d/l,17.5,6,258,95,3193,17.8,76,US
211,Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,Europe
212,Datsun B-210,32,4,85,70,1990,17,76,Japan
213,Toyota Corolla,28,4,97,75,2155,16.4,76,Japan
214,Ford Pinto,26.5,4,140,72,2565,13.6,76,US
215,Volvo 245,20,4,130,102,3150,15.7,76,Europe
216,Plymouth Volare Premier v8,13,8,318,150,3940,13.2,76,US
217,Peugeot 504,19,4,120,88,3270,21.9,76,Europe
218,Toyota Mark II,19,6,156,108,2930,15.5,76,Japan
219,Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe
220,Cadillac Seville,16.5,8,350,180,4380,12.1,76,US
221,Chevrolet C10,13,8,350,145,4055,12,76,US
222,Ford F108,13,8,302,130,3870,15,76,US
223,Dodge D100,13,8,318,150,3755,14,76,US
224,Honda Accord CVCC,31.5,4,98,68,2045,18.5,77,Japan
225,Buick Opel Isuzu Deluxe,30,4,111,80,2155,14.8,77,US
226,Renault 5 GTL,36,4,79,58,1825,18.6,77,Europe
227,Plymouth Arrow GS,25.5,4,122,96,2300,15.5,77,US
228,Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,Japan
229,Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77,US
230,Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,77,US
231,Dodge Monaco Brougham,15.5,8,318,145,4140,13.7,77,US
232,Mercury Cougar Brougham,15,8,302,130,4295,14.9,77,US
233,Chevrolet Concours,17.5,6,250,110,3520,16.4,77,US
234,Buick Skylark,20.5,6,231,105,3425,16.9,77,US
235,Plymouth Volare Custom,19,6,225,100,3630,17.7,77,US
236,Ford Grenada,18.5,6,250,98,3525,19,77,US
237,Pontiac Grand Prix LJ,16,8,400,180,4220,11.1,77,US
238,Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77,US
239,Chrysler Cordoba,15.5,8,400,190,4325,12.2,77,US
240,Ford Thunderbird,16,8,351,149,4335,14.5,77,US
241,Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,77,Europe
242,Pontiac Sunbird Coupe,24.5,4,151,88,2740,16,77,US
243,Toyota Corolla Liftback,26,4,97,75,2265,18.2,77,Japan
244,Ford Mustang II 2+2,25.5,4,140,89,2755,15.8,77,US
245,Chevrolet Chevette,30.5,4,98,63,2051,17,77,US
246,Dodge Colt m/m,33.5,4,98,83,2075,15.9,77,US
247,Subaru DL,30,4,97,67,1985,16.4,77,Japan
248,Volkswagen Dasher,30.5,4,97,78,2190,14.1,77,Europe
249,Datsun 810,22,6,146,97,2815,14.5,77,Japan
250,BMW 320i,21.5,4,121,110,2600,12.8,77,Europe
251,Mazda RX-4,21.5,3,80,110,2720,13.5,77,Japan
252,Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,78,Europe
253,Ford Fiesta,36.1,4,98,66,1800,14.4,78,US
254,Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78,Japan
255,Datsun B210 GX,39.4,4,85,70,2070,18.6,78,Japan
256,Honda Civic CVCC,36.1,4,91,60,1800,16.4,78,Japan
257,Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,15.5,78,US
258,Dodge Diplomat,19.4,8,318,140,3735,13.2,78,US
259,Mercury Monarch ghia,20.2,8,302,139,3570,12.8,78,US
260,Pontiac Phoenix LJ,19.2,6,231,105,3535,19.2,78,US
261,Chevrolet Malibu,20.5,6,200,95,3155,18.2,78,US
262,Ford Fairmont (auto),20.2,6,200,85,2965,15.8,78,US
263,Ford Fairmont (man),25.1,4,140,88,2720,15.4,78,US
264,Plymouth Volare,20.5,6,225,100,3430,17.2,78,US
265,AMC Concord,19.4,6,232,90,3210,17.2,78,US
266,Buick Century Special,20.6,6,231,105,3380,15.8,78,US
267,Mercury Zephyr,20.8,6,200,85,3070,16.7,78,US
268,Dodge Aspen,18.6,6,225,110,3620,18.7,78,US
269,AMC Concord d/l,18.1,6,258,120,3410,15.1,78,US
270,Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78,US
271,Buick Regal Sport Coupe (turbo),17.7,6,231,165,3445,13.4,78,US
272,Ford Futura,18.1,8,302,139,3205,11.2,78,US
273,Dodge Magnum XE,17.5,8,318,140,4080,13.7,78,US
274,Chevrolet Chevette,30,4,98,68,2155,16.5,78,US
275,Toyota Corolla,27.5,4,134,95,2560,14.2,78,Japan
276,Datsun 510,27.2,4,119,97,2300,14.7,78,Japan
277,Dodge Omni,30.9,4,105,75,2230,14.5,78,US
278,Toyota Celica GT Liftback,21.1,4,134,95,2515,14.8,78,Japan
279,Plymouth Sapporo,23.2,4,156,105,2745,16.7,78,US
280,Oldsmobile Starfire SX,23.8,4,151,85,2855,17.6,78,US
281,Datsun 200-SX,23.9,4,119,97,2405,14.9,78,Japan
282,Audi 5000,20.3,5,131,103,2830,15.9,78,Europe
283,Volvo 264gl,17,6,163,125,3140,13.6,78,Europe
284,Saab 99gle,21.6,4,121,115,2795,15.7,78,Europe
285,Peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe
286,Volkswagen Scirocco,31.5,4,89,71,1990,14.9,78,Europe
287,Honda Accord LX,29.5,4,98,68,2135,16.6,78,Japan
288,Pontiac Lemans V6,21.5,6,231,115,3245,15.4,79,US
289,Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79,US
290,Ford Fairmont 4,22.3,4,140,88,2890,17.3,79,US
291,AMC Concord DL 6,20.2,6,232,90,3265,18.2,79,US
292,Dodge Aspen 6,20.6,6,225,110,3360,16.6,79,US
293,Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,US
294,Ford LTD Landau,17.6,8,302,129,3725,13.4,79,US
295,Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,US
296,Dodge St. Regis,18.2,8,318,135,3830,15.2,79,US
297,Buick Estate Wagon (sw),16.9,8,350,155,4360,14.9,79,US
298,Ford Country Squire (sw),15.5,8,351,142,4054,14.3,79,US
299,Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,15,79,US
300,Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,13,79,US
301,Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe
302,Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan
303,Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79,US
304,AMC Spirit DL,27.4,4,121,80,2670,15,79,US
305,Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe
306,Cadillac Eldorado,23,8,350,125,3900,17.4,79,US
307,Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
308,Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,US
309,Plymouth Horizon,34.2,4,105,70,2200,13.2,79,US
310,Plymouth Horizon TC3,34.5,4,105,70,2150,14.9,79,US
311,Datsun 210,31.8,4,85,65,2020,19.2,79,Japan
312,Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe
313,Buick Skylark Limited,28.4,4,151,90,2670,16,79,US
314,Chevrolet Citation,28.8,6,173,115,2595,11.3,79,US
315,Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,79,US
316,Pontiac Phoenix,33.5,4,151,90,2556,13.2,79,US
317,Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe
318,Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan
319,Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,US
320,Datsun 310,37.2,4,86,65,2019,16.4,80,Japan
321,Chevrolet Citation,28,4,151,90,2678,16.5,80,US
322,Ford Fairmont,26.4,4,140,88,2870,18.1,80,US
323,AMC Concord,24.3,4,151,90,3003,20.1,80,US
324,Dodge Aspen,19.1,6,225,90,3381,18.7,80,US
325,Audi 4000,34.3,4,97,78,2188,15.8,80,Europe
326,Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan
327,Mazda 626,31.3,4,120,75,2542,17.5,80,Japan
328,Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan
329,Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan
330,Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan
331,Dodge Colt,27.9,4,156,105,2800,14.4,80,US
332,Datsun 210,40.8,4,85,65,2110,19.2,80,Japan
333,Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,80,Europe
334,Volkswagen Dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe
335,Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
336,Mercedes-Benz 240d,30,4,146,67,3250,21.8,80,Europe
337,Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
338,Renault Lecar Deluxe,40.9,4,85,0,1835,17.3,80,Europe
339,Subaru DL,33.8,4,97,67,2145,18,80,Japan
340,Volkswagen Rabbit,29.8,4,89,62,1845,15.3,80,Europe
341,Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan
342,Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan
343,Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,Europe
344,Ford Mustang Cobra,23.6,4,140,0,2905,14.3,80,US
345,Honda Accord,32.4,4,107,72,2290,17,80,Japan
346,Plymouth Reliant,27.2,4,135,84,2490,15.7,81,US
347,Buick Skylark,26.6,4,151,84,2635,16.4,81,US
348,Dodge Aries Wagon (sw),25.8,4,156,92,2620,14.4,81,US
349,Chevrolet Citation,23.5,6,173,110,2725,12.6,81,US
350,Plymouth Reliant,30,4,135,84,2385,12.9,81,US
351,Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan
352,Plymouth Champ,39,4,86,64,1875,16.4,81,US
353,Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan
354,Subaru,32.3,4,97,67,2065,17.8,81,Japan
355,Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan
356,Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan
357,Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan
358,Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,US
359,Ford Escort 4W,34.4,4,98,65,2045,16.2,81,US
360,Ford Escort 2H,29.9,4,98,65,2380,20.7,81,US
361,Volkswagen Jetta,33,4,105,74,2190,14.2,81,Europe
362,Renault 18i,34.5,4,100,0,2320,15.8,81,Europe
363,Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan
364,Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan
365,Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan
366,Mazda 626,31.6,4,120,74,2635,18.3,81,Japan
367,Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe
368,Saab 900s,0,4,121,110,2800,15.4,81,Europe
369,Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe
370,Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan
371,Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan
372,Buick Century,22.4,6,231,110,3415,15.8,81,US
373,Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US
374,Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US
375,Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US
376,Chevrolet Cavalier,28,4,112,88,2605,19.6,82,US
377,Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,US
378,Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US
379,Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US
380,Dodge Aries SE,29,4,135,84,2525,16,82,US
381,Pontiac Phoenix,27,4,151,90,2735,18,82,US
382,Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US
383,AMC Concord DL,23,4,151,0,3035,20.5,82,US
384,Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe
385,Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan
386,Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan
387,Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US
388,Mercury Lynx l,36,4,98,70,2125,17.3,82,US
389,Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan
390,Honda Accord,36,4,107,75,2205,14.5,82,Japan
391,Toyota Corolla,34,4,108,70,2245,16.9,82,Japan
392,Honda Civic,38,4,91,67,1965,15,82,Japan
393,Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan
394,Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan
395,Buick Century Limited,25,6,181,110,2945,16.4,82,US
396,Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US
397,Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US
398,Ford Grenada l,22,6,232,112,2835,14.7,82,US
399,Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan
400,Dodge Charger 2.2,36,4,135,84,2370,13,82,US
401,Chevrolet Camaro,27,4,151,90,2950,17.3,82,US
402,Ford Mustang GL,27,4,140,86,2790,15.6,82,US
403,Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe
404,Dodge Rampage,32,4,135,84,2295,11.6,82,US
405,Ford Ranger,28,4,120,79,2625,18.6,82,US
406,Chevy S-10,31,4,119,82,2720,19.4,82,US
